asdf_id,gpw_v4_count.2000.sum,gpw_v4_count.2015.sum,adm,gbid,Name,Level,adm_int,feature_id,iso,gqid
40,180007.21875,263581.65625,ADM2,TZA_ADM2_1_3_3_40,Singida,ADM2,2,40,TZA,40
41,158786.375,196174.3125,ADM2,TZA_ADM2_1_3_3_41,Songea,ADM2,2,41,TZA,41
42,212836.84375,364388.25,ADM2,TZA_ADM2_1_3_3_42,Sumbawanga,ADM2,2,42,TZA,42
43,145954.96875,183727.53125,ADM2,TZA_ADM2_1_3_3_43,Wanging'ombe,ADM2,2,43,TZA,43
44,277804.5625,518535.53125,ADM2,TZA_ADM2_1_3_3_44,Arusha Urban,ADM2,2,44,TZA,44
45,101179.46875,180493.0,ADM2,TZA_ADM2_1_3_3_45,Iringa Urban,ADM2,2,45,TZA,45
46,173976.09375,263254.375,ADM2,TZA_ADM2_1_3_3_46,Kigoma,ADM2,2,46,TZA,46
47,102188.023438,125887.054688,ADM2,TZA_ADM2_1_3_3_47,Kisarawe,ADM2,2,47,TZA,47
48,249956.5,360551.3125,ADM2,TZA_ADM2_1_3_3_48,Kongwa,ADM2,2,48,TZA,48
49,165429.21875,260841.03125,ADM2,TZA_ADM2_1_3_3_49,Kyela,ADM2,2,49,TZA,49
50,114204.070312,107812.375,ADM2,TZA_ADM2_1_3_3_50,Makete,ADM2,2,50,TZA,50
51,197389.0625,363315.65625,ADM2,TZA_ADM2_1_3_3_51,Manyoni,ADM2,2,51,TZA,51
52,220377.4375,281516.75,ADM2,TZA_ADM2_1_3_3_52,Masasi,ADM2,2,52,TZA,52
53,283214.375,410986.4375,ADM2,TZA_ADM2_1_3_3_53,Mbinga,ADM2,2,53,TZA,53
54,117340.085938,244045.09375,ADM2,TZA_ADM2_1_3_3_54,Mbogwe,ADM2,2,54,TZA,54
55,249443.796875,349126.9375,ADM2,TZA_ADM2_1_3_3_55,Meatu,ADM2,2,55,TZA,55
56,177809.09375,233768.828125,ADM2,TZA_ADM2_1_3_3_56,Muheza,ADM2,2,56,TZA,56
57,435446.15625,612435.875,ADM2,TZA_ADM2_1_3_3_57,Muleba,ADM2,2,57,TZA,57
58,134096.8125,203183.59375,ADM2,TZA_ADM2_1_3_3_58,Musoma,ADM2,2,58,TZA,58
59,164064.96875,200924.78125,ADM2,TZA_ADM2_1_3_3_59,Nachingwea,ADM2,2,59,TZA,59
60,203244.171875,338519.25,ADM2,TZA_ADM2_1_3_3_60,Nkasi,ADM2,2,60,TZA,60
61,197773.5625,461563.15625,ADM2,TZA_ADM2_1_3_3_61,Nyamagana,ADM2,2,61,TZA,61
62,209012.78125,316808.625,ADM2,TZA_ADM2_1_3_3_62,Same,ADM2,2,62,TZA,62
63,276353.21875,387652.5625,ADM2,TZA_ADM2_1_3_3_63,Shinyanga,ADM2,2,63,TZA,63
64,701083.3125,1764380.875,ADM2,TZA_ADM2_1_3_3_64,Temeke,ADM2,2,64,TZA,64
65,273245.3125,481734.21875,ADM2,TZA_ADM2_1_3_3_65,Uyui,ADM2,2,65,TZA,65
66,266319.75,375613.71875,ADM2,TZA_ADM2_1_3_3_66,Biharamulo,ADM2,2,66,TZA,66
67,137407.703125,285531.0625,ADM2,TZA_ADM2_1_3_3_67,Bukombe,ADM2,2,67,TZA,67
68,249684.515625,387484.1875,ADM2,TZA_ADM2_1_3_3_68,Bunda,ADM2,2,68,TZA,68
69,272077.0,394736.84375,ADM2,TZA_ADM2_1_3_3_69,Chamwino,ADM2,2,69,TZA,69
70,400369.3125,617748.5,ADM2,TZA_ADM2_1_3_3_70,Kahama,ADM2,2,70,TZA,70
71,171535.421875,266291.1875,ADM2,TZA_ADM2_1_3_3_71,Karatu,ADM2,2,71,TZA,71
72,210851.46875,245613.515625,ADM2,TZA_ADM2_1_3_3_72,Kilolo,ADM2,2,72,TZA,72
73,437707.0625,441292.4375,ADM2,TZA_ADM2_1_3_3_73,Kwimba,ADM2,2,73,TZA,73
74,75273.859375,106398.398438,ADM2,TZA_ADM2_1_3_3_74,Liwale,ADM2,2,74,TZA,74
75,309382.75,392626.3125,ADM2,TZA_ADM2_1_3_3_75,Maswa,ADM2,2,75,TZA,75
76,196785.046875,282864.375,ADM2,TZA_ADM2_1_3_3_76,Mkuranga,ADM2,2,76,TZA,76
77,404649.625,537333.125,ADM2,TZA_ADM2_1_3_3_77,Moshi,ADM2,2,77,TZA,77
78,77226.4765625,97170.0078125,ADM2,TZA_ADM2_1_3_3_78,Njombe,ADM2,2,78,TZA,78
79,311482.125,383019.25,ADM2,TZA_ADM2_1_3_3_79,Rungwe,ADM2,2,79,TZA,79
80,113015.828125,178292.296875,ADM2,TZA_ADM2_1_3_3_80,Singida Urban,ADM2,2,80,TZA,80
81,124697.640625,253330.078125,ADM2,TZA_ADM2_1_3_3_81,Songea Urban,ADM2,2,81,TZA,81
82,141702.484375,254943.625,ADM2,TZA_ADM2_1_3_3_82,Sumbawanga Urban,ADM2,2,82,TZA,82
83,205330.8125,255186.359375,ADM2,TZA_ADM2_1_3_3_83,Tandahimba,ADM2,2,83,TZA,83
84,219623.328125,276826.875,ADM2,TZA_ADM2_1_3_3_84,Tanga Urban,ADM2,2,84,TZA,84
