X,Y,LandUse,Latitude,Longitude
616558.8427,6198715.075,Prairie,-34.34633118,-55.73269946
617963.6699,6216873.939,Prairie,-34.18244693,-55.71991198
619017.5813,6205665.652,Prairie,-34.28338411,-55.70693387
619790.671,6205803.827,Prairie,-34.28204939,-55.69855575
619817.2734,6194224.006,Prairie,-34.38645104,-55.69665276
620254.1997,6205723.451,Prairie,-34.28272049,-55.69350976
621680.4976,6220910.665,Prairie,-34.14562333,-55.68015455
622113.7207,6196272.438,Prairie,-34.36771391,-55.67196995
623059.6803,6198392.835,Prairie,-34.34848453,-55.66198867
625861.4894,6224983.758,Prairie,-34.10840377,-55.63540553
627276.7431,6224700.884,Prairie,-34.11078279,-55.62002377
631078.6602,6221178.682,Prairie,-34.1420688,-55.57828153
631305.2602,6210824.262,Prairie,-34.23539416,-55.57425416
632138.8513,6220199.982,Prairie,-34.15075894,-55.56663648
633295.9518,6219166.071,Prairie,-34.15993331,-55.55392953
633941.5029,6218682.657,Prairie,-34.16420897,-55.54685351
635130.0985,6208192.823,Prairie,-34.25862825,-55.53232304
635253.002,6207950.581,Prairie,-34.26079621,-55.53095057
637573.7389,6206543.907,Prairie,-34.27317335,-55.50552702
638948.4685,6220450.737,Prairie,-34.14761365,-55.49283188
640027.5588,6220561.893,Prairie,-34.14646728,-55.48114857
640364.7095,6219983.99,Prairie,-34.15163207,-55.4773992
641190.3648,6219391.779,Prairie,-34.15685973,-55.46834933
642745.3537,6206798.319,Prairie,-34.27018191,-55.44940731
642918.4438,6215529.313,Prairie,-34.1914459,-55.44897183
643320.6565,6214848.045,Prairie,-34.19753248,-55.44449542
645582.8459,6210195.87,Prairie,-34.23915885,-55.41916797
646389.917,6203649.587,Prairie,-34.29806057,-55.4092961
647572.8621,6201409.039,Prairie,-34.31809139,-55.39606226
581477.3053,6198930.821,Stubble,-34.34773976,-56.1140995
587782.0361,6215813.214,Stubble,-34.1949915,-56.04727513
588167.229,6215494.069,Stubble,-34.19783681,-56.04306251
600759.302,6210235.625,Stubble,-34.24410984,-55.90579997
632590.3104,6220056.816,Stubble,-34.15199244,-55.56171879
634230.3885,6218460.473,Stubble,-34.16617498,-55.54368584
641582.6694,6218483.34,Stubble,-34.16499653,-55.46394656
647840.8511,6201070.526,Stubble,-34.32110487,-55.39309238
649326.1982,6198009.287,Stubble,-34.34848846,-55.37642182
566036.9954,6188834.558,Summercrops,-34.43988376,-56.28119062
568284.9057,6192427.184,Summercrops,-34.40734085,-56.25701068
569471.7399,6193604.976,Summercrops,-34.39664095,-56.24419356
569595.8094,6199734.165,Summercrops,-34.34136211,-56.24334098
570318.5944,6203785.947,Summercrops,-34.30477578,-56.23581462
570476.3378,6194413.296,Summercrops,-34.3892839,-56.23333152
570720.3728,6204331.697,Summercrops,-34.29982708,-56.23149348
571273.2246,6204506.207,Summercrops,-34.29821558,-56.22550066
571216.084,6193673.55,Summercrops,-34.39590389,-56.22522346
571340.3382,6205512.911,Summercrops,-34.28913285,-56.22485481
571575.2359,6206049.82,Summercrops,-34.28427501,-56.22234735
571726.2416,6205127.008,Summercrops,-34.2925862,-56.22063
572192.5489,6193614.37,Summercrops,-34.39636981,-56.21459616
572429.1519,6207356.568,Summercrops,-34.27243198,-56.21318027
572512.6468,6209930.778,Summercrops,-34.24921275,-56.21248969
572595.6067,6208469.36,Summercrops,-34.26238557,-56.21146584
572683.071,6211331.038,Summercrops,-34.23657372,-56.21075685
572982.4829,6210615.918,Summercrops,-34.24300148,-56.20744547
573725.0568,6210524.444,Summercrops,-34.24377398,-56.19937435
573863.9938,6210758.276,Summercrops,-34.24165549,-56.19788569
574936.9839,6209798.189,Summercrops,-34.25023644,-56.18615141
575283.1662,6193184.872,Summercrops,-34.40002233,-56.18093766
575608.6545,6192504.305,Summercrops,-34.40613551,-56.17733668
576568.6932,6209366.899,Summercrops,-34.25400672,-56.16839369
577353.3096,6208633.166,Summercrops,-34.26056511,-56.15980706
578157.2217,6207944.155,Summercrops,-34.26671813,-56.15101357
578464.4705,6212297.656,Summercrops,-34.22743702,-56.14807209
578514.6556,6211582.15,Summercrops,-34.23388537,-56.14746223
578559.7634,6210884.329,Summercrops,-34.24017462,-56.14690901
578891.4937,6217521.225,Summercrops,-34.18030062,-56.14391249
578955.6039,6210607.034,Summercrops,-34.24264516,-56.1425856
578853.9143,6193811.058,Summercrops,-34.39410957,-56.14215017
579027.182,6213639.315,Summercrops,-34.21529591,-56.14208571
579139.7074,6197273.789,Summercrops,-34.3628631,-56.13936085
579419.7547,6217283.973,Summercrops,-34.18239996,-56.1381589
579437.7721,6216440.477,Summercrops,-34.1900049,-56.13788601
579997.813,6198398.204,Summercrops,-34.3526579,-56.13013472
581472.1259,6219547.051,Summercrops,-34.161834,-56.11610223
