,Unnamed: 0,X,Y,LandUse,Latitude,Longitude,red,green,blue,nir,swir1,swir2,NDVI,NBR,NDWI_2,SCI,PNDVI,CVI,CCCI,NBR2,bs,pv,npv,NDVI_coeff_var
14,14,586365.6435,6217084.815,Forest,-34.18364333,-56.06277269,290,428,215,3126,1467,668,0.8302107728337237,0.6478650500790722,-0.7591446257737761,-0.3612018288700196,0.5402808573540281,4.948794654554983,0.8302107728337237,0.37423887587822013,4.0,86.0,6.0,0.0380299989736143
15,15,595160.9778,6201464.082,Forest,-34.32373059,-55.9656176,303,509,178,3751,1494,589,0.8505180069067587,0.7285714285714285,-0.7610328638497652,-0.43031458531935174,0.5823665893271461,4.386863567764522,0.8505180069067587,0.4344695151224196,13.0,84.0,0.0,0.014819694215374003
16,16,598621.5448,6213036.27,Forest,-34.2190614,-55.92933113,287,452,212,3392,1499,649,0.8439793422125578,0.6787923781242267,-0.7648283038501561,-0.3870374156614189,0.5620538798065853,4.764977680319524,0.8439793422125578,0.3957169459962756,8.0,89.0,0.0,0.07230391362628759
17,17,616830.2136,6205609.839,Forest,-34.28413579,-55.73068577,301,472,230,2949,1431,664,0.8147692307692308,0.6324384168281206,-0.724057293189126,-0.34657534246575344,0.4924089068825911,3.984348068083884,0.8147692307692308,0.36610978520286397,7.0,86.0,3.0,0.04237737065031325
18,18,631616.5852,6220820.065,Forest,-34.14523435,-55.57239423,267,411,172,2950,1297,557,0.8340068386695679,0.6823495865412033,-0.7554299315679858,-0.3892159171179656,0.5526315789473685,4.662830553927576,0.8340068386695679,0.39913700107874867,3.0,83.0,10.0,0.337402954265278
19,19,641890.9784,6217816.48,Forest,-34.17096664,-55.46049356,218,366,163,2559,1099,514,0.8429960388908895,0.6654734786853238,-0.7497435897435898,-0.3991252050300711,0.5480943738656987,4.164516706978411,0.8429960388908895,0.36267823930564164,0.0,84.0,10.0,0.09952011253089378
20,20,646954.0716,6208031.735,Forest,-34.25847577,-55.40391499,291,424,184,3092,1420,645,0.8279633461424771,0.6548033181696548,-0.7588168373151308,-0.37056737588652483,0.5494863442746178,5.004961730153079,0.8279633461424771,0.37530266343825663,2.0,82.0,11.0,0.047191829836639956
21,21,660344.6782,6197303.501,Forest,-34.35320349,-55.25653668,248,417,213,3383,1280,575,0.8633985128063895,0.7094492167761496,-0.7805263157894737,-0.45099721209521765,0.5878901666275522,4.824825032060682,0.8633985128063895,0.38005390835579517,4.0,91.0,0.0,0.12897547543951146
22,22,568454.8588,6195961.741,Naturalgrassland,-34.37545645,-56.25544389,706,741,424,2663,2698,1485,0.580884535470466,0.28399228543876565,-0.5646298472385429,0.006528632717776534,0.17468019408910454,3.4240449041216143,0.580884535470466,0.2899832655988525,2.0,61.0,34.0,0.17739051218070176
23,23,568958.211,6195257.048,Naturalgrassland,-34.38177766,-56.24991289,505,663,372,2909,2330,1107,0.7041593438781488,0.4487051792828685,-0.6287793952967525,-0.11051727428898644,0.30770959766239603,3.342012289310666,0.7041593438781488,0.3558335757928426,5.0,78.0,14.0,0.1650611773396074
